Email,Department,MealSwipes,Month
erica7298@sfasu.edu,Physics,472,Oct
dacey@sfasu.edu,Mathematics,33,Nov
slade7982@sfasu.edu,Physics,178,Oct
shaeleigh@sfasu.edu,Mathematics,98,Oct
francesca@sfasu.edu,CompSci,384,Dec
sybil5264@sfasu.edu,EarthSci,259,Oct
kieran@sfasu.edu,Chemistry,228,Dec
benedict2917@sfasu.edu,CompSci,36,Oct
igor@sfasu.edu,CompSci,404,Dec
jared@sfasu.edu,Physics,52,Nov
erica78@sfasu.edu,Physics,205,Nov
griffin9644@sfasu.edu,Nursing,479,Nov
cameran5734@sfasu.edu,Chemistry,116,Nov
madeline3807@sfasu.edu,Nursing,95,Nov
olga@sfasu.edu,Biology,68,Nov
adrian2083@sfasu.edu,EarthSci,326,Oct
fitzgerald2981@sfasu.edu,Biology,234,Oct
merrill4743@sfasu.edu,Chemistry,499,Oct
kirsten@sfasu.edu,Mathematics,235,Nov
ivana7854@sfasu.edu,CompSci,164,Oct
gregory686@sfasu.edu,Chemistry,168,Nov
tanner4748@sfasu.edu,CompSci,209,Dec
kuame@sfasu.edu,Physics,495,Dec
erica33@sfasu.edu,Mathematics,439,Oct
colette3671@sfasu.edu,Mathematics,398,Dec
galvin@sfasu.edu,Nursing,71,Nov
ahmed@sfasu.edu,CompSci,14,Oct
kaseem6607@sfasu.edu,Mathematics,62,Dec
raymond9217@sfasu.edu,Physics,221,Dec
connor983@sfasu.edu,Physics,240,Oct
indigo@sfasu.edu,EarthSci,3,Nov
yasir@sfasu.edu,Mathematics,118,Dec
larissa@sfasu.edu,Mathematics,191,Dec
raymond9@sfasu.edu,Chemistry,77,Oct
baker@sfasu.edu,Nursing,189,Nov
ivana@sfasu.edu,Biology,436,Dec
marvin@sfasu.edu,Biology,177,Nov
leah7839@sfasu.edu,EarthSci,233,Nov
venus9041@sfasu.edu,EarthSci,460,Nov
lars@sfasu.edu,Physics,163,Dec
tanner@sfasu.edu,CompSci,290,Dec
liberty4355@sfasu.edu,Nursing,99,Dec
allen@sfasu.edu,CompSci,481,Dec
carolyn@sfasu.edu,Nursing,383,Dec
wing576@sfasu.edu,Chemistry,304,Dec
josephine7259@sfasu.edu,Physics,325,Dec
wing@sfasu.edu,Nursing,136,Nov
inga5561@sfasu.edu,Mathematics,88,Oct
macaulay9018@sfasu.edu,CompSci,443,Oct
kerry2288@sfasu.edu,CompSci,331,Nov
raymond934@sfasu.edu,EarthSci,224,Dec
shad9402@sfasu.edu,Physics,36,Nov
davis@sfasu.edu,EarthSci,288,Dec
wing998@sfasu.edu,Physics,495,Dec
macon1257@sfasu.edu,CompSci,401,Oct
robert235@sfasu.edu,EarthSci,330,Dec
mikayla@sfasu.edu,Chemistry,400,Nov
merrill9475@sfasu.edu,Biology,116,Nov
kyla@sfasu.edu,Mathematics,317,Dec
quinn@sfasu.edu,Mathematics,483,Nov
ayanna3387@sfasu.edu,Nursing,134,Oct
jacob9654@sfasu.edu,Physics,381,Oct
alfonso5354@sfasu.edu,EarthSci,63,Nov
wing3389@sfasu.edu,Biology,413,Dec
raymond5@sfasu.edu,CompSci,497,Oct
tad@sfasu.edu,Biology,218,Oct
jade335@sfasu.edu,EarthSci,462,Nov
wynne6107@sfasu.edu,Nursing,329,Nov
amity@sfasu.edu,Chemistry,326,Oct
roth@sfasu.edu,EarthSci,496,Nov
branden1487@sfasu.edu,CompSci,305,Dec
sierra@sfasu.edu,Nursing,63,Oct
juliet8505@sfasu.edu,Physics,348,Oct
galena9521@sfasu.edu,Biology,179,Dec
emmanuel@sfasu.edu,EarthSci,325,Oct
lawrence6348@sfasu.edu,Mathematics,445,Nov
raymond339@sfasu.edu,EarthSci,262,Dec
kristen821@sfasu.edu,EarthSci,149,Oct
mary9068@sfasu.edu,CompSci,152,Nov
stacy9784@sfasu.edu,EarthSci,65,Nov
dane2318@sfasu.edu,Mathematics,124,Dec
edan7988@sfasu.edu,EarthSci,215,Nov
chaney1096@sfasu.edu,EarthSci,428,Nov
pandora@sfasu.edu,Chemistry,194,Dec
daquan@sfasu.edu,Mathematics,156,Nov
jade354@sfasu.edu,Chemistry,302,Dec
jade@sfasu.edu,Chemistry,310,Nov
thaddeus@sfasu.edu,Biology,326,Oct
jemima@sfasu.edu,EarthSci,369,Dec
oleg@sfasu.edu,CompSci,264,Nov
robert@sfasu.edu,Physics,285,Dec
jaquelyn4321@sfasu.edu,Physics,146,Oct
carla@sfasu.edu,CompSci,364,Dec
quinlan3556@sfasu.edu,CompSci,399,Dec
portia8004@sfasu.edu,Chemistry,424,Dec
keane@sfasu.edu,Chemistry,52,Oct
quin6133@sfasu.edu,Nursing,452,Nov
jordan8373@sfasu.edu,Chemistry,206,Oct
adena7177@sfasu.edu,Physics,414,Dec
xavier@sfasu.edu,Physics,437,Nov
